Razão Social (Registro ANS);Cobertura;Porte;Classificação no Mês;Classificação no Mês Anterior;dez/17;nov/17;out/17;set/17;ago/17;jul/17;jun/17;mai/17;abr/17;mar/17;fev/17;jan/17;Competência;Data de atualização
CAIXA DE ASSISTÊNCIA DO SETOR ELÉTRICO - E-VIDA (418374);Médico Hospitalar;Pequeno;1;1;100,00;100,00;100,00;100,00;80,00;83,33;66,67;100,00;100,00;100,00;100,00;100,00;201712;05/02/2018 11:09:28
CAIXA DE ASSISTÊNCIA DO SINDFISCO - CASSIND (413518);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DA CEDAE (321869);Médico Hospitalar;Médio;128;143;93,75;87,50;87,50;66,67;50,00;25,00;50,00;55,56;77,78;77,78;66,67;50,00;201712;05/02/2018 11:09:28
CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DA SANEAGO (363855);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANCO DO ESTADO DO RIO GRANDE DO SUL (307319);Médico Hospitalar;Médio;199;185;50,00;66,67;50,00;100,00;66,67;66,67;60,00;50,00;0,00;33,33;66,67;50,00;201712;05/02/2018 11:09:28
CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANEB (315583);Médico Hospitalar;Pequeno;;;;;;100,00;100,00;100,00;100,00;;;;;;201712;05/02/2018 11:09:28
CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANESE (335789);Médico Hospitalar;Pequeno;1;1;100,00;100,00;0,00;0,00;0,00;;;;;;;;201712;05/02/2018 11:09:28
CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO SETOR PÚBLICO DO ESTADO DE GOIÁS - CAEME (344184);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO SISTEMA FINANCEIRO BANESTES (343331);Médico Hospitalar;Pequeno;;;;;;100,00;100,00;100,00;;;;;;;201712;05/02/2018 11:09:28
CAIXA DE ASSISTÊNCIA DOS FUNCIONÁRIOS DA  ENERGISA SERGIPE (370321);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
CAIXA DE ASSISTÊNCIA DOS FUNCIONÁRIOS DO BANCO DA AMAZÔNIA - CASF (358754);Médico Hospitalar;Pequeno;;;;;;;;;;;;100,00;100,00;100,00;201712;05/02/2018 11:09:28
CAIXA DE ASSISTÊNCIA DOS FUNCIONÁRIOS DO BANCO DO BRASIL (346659);Médico Hospitalar;Grande;28;21;95,07;95,82;94,57;93,95;92,69;93,77;93,95;90,74;88,39;88,55;90,08;90,51;201712;05/02/2018 11:09:28
CAIXA DE ASSISTÊNCIA DOS FUNCIONÁRIOS DO BANCO DO NORDESTE DO BRASIL (385697);Médico Hospitalar;Médio;1;178;100,00;75,00;80,00;80,00;100,00;88,89;77,78;66,67;80,00;100,00;100,00;100,00;201712;05/02/2018 11:09:28
CAIXA DE ASSISTÊNCIA DOS MAGISTRADOS DE PERNAMBUCO (302627);Médico Hospitalar;Pequeno;;;;;;;;100,00;100,00;100,00;;;;;201712;05/02/2018 11:09:28
CAIXA DE ASSISTENCIA DOS SERVIDORES DO ESTADO DE MATO GROSSO DO SUL (413534);Médico Hospitalar;Grande;76;75;66,67;75,00;50,00;50,00;50,00;66,67;66,67;75,00;50,00;75,00;80,00;100,00;201712;05/02/2018 11:09:28
CAIXA DE ASSISTÊNCIA DOS SERVIDORES FAZENDÁRIOS ESTADUAIS (359122);Médico Hospitalar;Pequeno;;;;;;;100,00;100,00;100,00;;;;;0,00;201712;05/02/2018 11:09:28
CAIXA DE ASSISTENCIA MEDICA DOS EX-EMPREGADOS DO BEMAT (331856);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
CAIXA DE ASSISTÊNCIA OSWALDO CRUZ (417548);Médico Hospitalar;Pequeno;1;1;100,00;100,00;83,33;83,33;88,89;100,00;85,71;66,67;66,67;100,00;100,00;100,00;201712;05/02/2018 11:09:28
CAIXA DE ASSISTÊNCIA SISTEMA SAÚDE INTEGRAL-SSI SAUDE (320820);Médico Hospitalar;Pequeno;1;1;100,00;100,00;100,00;100,00;;;;;;;;;201712;05/02/2018 11:09:28
CAIXA DE PREVIDÊNCIA E ASSISTÊNCIA DOS SERVIDORES DA FUNDAÇÃO NACIONAL DE SAÚDE - CAPESESP (324477);Médico Hospitalar;Médio;173;159;80,65;83,87;82,61;87,50;76,92;81,61;83,75;92,00;90,57;91,23;91,53;89,33;201712;05/02/2018 11:09:28
CAIXA ECONÔMICA FEDERAL (312924);Médico Hospitalar;Grande;31;33;94,58;93,24;88,51;86,25;85,19;90,91;91,30;88,64;91,11;90,16;89,33;86,30;201712;05/02/2018 11:09:28
CAIXA SEGURADORA ESPECIALIZADA EM SAÚDE S/A (418072);Médico Hospitalar;Médio;134;136;92,11;88,89;80,43;83,72;84,09;88,46;83,87;78,38;74,63;71,62;75,38;80,56;201712;05/02/2018 11:09:28
CAMBORIÚ SAÚDE LTDA. (360147);Médico Hospitalar;Pequeno;;1;;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;;100,00;100,00;201712;05/02/2018 11:09:28
CAMIM-CLINICA MÉDICA LTDA (319872);Médico Hospitalar;Médio;208;206;0,00;0,00;;100,00;100,00;100,00;;100,00;100,00;100,00;100,00;;201712;05/02/2018 11:09:28
CARE PLUS MEDICINA ASSISTENCIAL LTDA. (379956);Médico Hospitalar;Grande;1;1;100,00;100,00;91,67;92,86;94,12;93,75;94,44;94,12;85,71;77,78;80,00;100,00;201712;05/02/2018 11:09:28
CASA DE SAÚDE NOSSA SENHORA DE FÁTIMA  LTDA. (327328);Médico Hospitalar;Pequeno;1;;100,00;;;;;;;;;;;;201712;05/02/2018 11:09:28
CASA DE SAÚDE SÃO BERNARDO S/A (363766);Médico Hospitalar;Médio;1;1;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;90,00;201712;05/02/2018 11:09:28
CB SAÚDE ADMINISTRAÇÃO EM SAUDE SUPLEMENTAR LTDA (418676);Médico Hospitalar;Pequeno;123;140;67,86;60,00;65,00;54,55;62,50;100,00;100,00;88,89;75,00;60,00;66,67;100,00;201712;05/02/2018 11:09:28
CEAM BRASIL - PLANOS DE SAÚDE S/A (311472);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
CEDPLAN SAÚDE LTDA EPP (418749);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
CELULOSE NIPO-BRASILEIRA S/A - CENIBRA (339270);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
CEMIG SAÚDE (417505);Médico Hospitalar;Médio;1;1;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;88,89;83,33;71,43;201712;05/02/2018 11:09:28
CEMIL CENTRO MEDICO DE ITU LTDA. (300012);Médico Hospitalar;Pequeno;142;150;0,00;0,00;;;;;;;;;;;201712;05/02/2018 11:09:28
CENTRAIS ELÉTRICAS DE RONDÔNIA S/A - CERON (304697);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
CENTRAL NACIONAL UNIMED - COOPERATIVA CENTRAL (339679);Médico Hospitalar;Grande;49;43;92,24;91,45;89,95;90,41;90,57;91,56;90,27;89,14;88,08;86,74;88,75;87,13;201712;05/02/2018 11:09:28
CENTRAL OPERADORA DE PLANOS DE SAÚDE NORTE-NORDESTE SOCIEDADE COOPERATIVA (417092);Médico Hospitalar;Pequeno;1;1;100,00;100,00;;;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;201712;05/02/2018 11:09:28
CENTRAL REGIONAL DAS COOPERATIVAS MÉDICAS - UNIMED CERRADO (386596);Médico Hospitalar;Médio;189;198;66,67;50,00;100,00;;;;100,00;100,00;100,00;100,00;100,00;100,00;201712;05/02/2018 11:09:28
CENTRO BARBACENENSE DE ASSISTÊNCIA MEDICA E SOCIAL (310361);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
CENTRO CLÍNICO GAÚCHO LTDA (392804);Médico Hospitalar;Grande;1;1;100,00;100,00;83,33;84,62;85,71;100,00;100,00;100,00;100,00;100,00;94,12;93,75;201712;05/02/2018 11:09:28
CENTRO CLINICO NH LTDA. (304212);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
CENTRO DE ENDOCRINOLOGIA DE JUNDIAÍ S/S LTDA (415910);Médico Hospitalar;Pequeno;;150;;0,00;0,00;0,00;;0,00;0,00;0,00;;;;100,00;201712;05/02/2018 11:09:28
CENTRO HOSPITALAR ATIBAIA LTDA. (350699);Médico Hospitalar;Médio;;1;;100,00;100,00;100,00;100,00;;50,00;50,00;50,00;;;;201712;05/02/2018 11:09:28
CENTRO MÉDICO ESTÂNCIA VELHA LTDA (403130);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
CENTRO MÉDICO FÁTIMA LTDA (408883);Médico Hospitalar;Pequeno;1;1;100,00;100,00;100,00;;;;;100,00;100,00;100,00;100,00;100,00;201712;05/02/2018 11:09:28
CENTRO TRASMONTANO DE SAO PAULO (303623);Médico Hospitalar;Médio;121;109;96,88;96,55;88,89;89,29;91,43;90,91;87,50;87,80;90,91;88,89;89,29;91,18;201712;05/02/2018 11:09:28
CETESB - COMPANHIA AMBIENTAL DO ESTADO DE SÃO PAULO (324892);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
CGO SAÚDE - OPERADORA DE PLANOS DE SAÚDE LTDA  (413291);Médico Hospitalar;Pequeno;1;1;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;;201712;05/02/2018 11:09:28
CIMMAL OPERADORA DE PLANOS DE SAÚDE LTDA. (405051);Médico Hospitalar;Pequeno;132;150;50,00;0,00;0,00;0,00;;;;;;;;;201712;05/02/2018 11:09:28
CIRCULO OPERARIO CAXIENSE (310247);Médico Hospitalar;Médio;1;1;100,00;100,00;100,00;100,00;50,00;50,00;75,00;100,00;100,00;;;100,00;201712;05/02/2018 11:09:28
CLIMEPE TOTAL LTDA (343013);Médico Hospitalar;Médio;199;206;50,00;0,00;100,00;100,00;100,00;100,00;100,00;;100,00;75,00;75,00;50,00;201712;05/02/2018 11:09:28
CLIMESA CLÍNICA MÉDICA SANTANA LTDA (342955);Médico Hospitalar;Pequeno;;;;;;;100,00;100,00;100,00;100,00;;100,00;100,00;100,00;201712;05/02/2018 11:09:28
CLIMOL CLINICA MÉDICA E ODONTOLÓGICA SÃO FRANCISCO DE ASSIS LTDA. (402770);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
CLÍNICA SÃO GABRIEL S/S LTDA (415944);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
CLINICA SÃO JOSÉ SAUDE LTDA. (413275);Médico Hospitalar;Médio;1;1;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;201712;05/02/2018 11:09:28
CLINIPAM CLINICA PARANAENSE DE ASSISTENCIA MEDICA LTDA (340782);Médico Hospitalar;Grande;41;30;93,10;93,55;95,00;97,22;93,33;83,33;84,21;97,06;94,74;95,24;89,29;90,32;201712;05/02/2018 11:09:28
CLINIPREV SAUDE LTDA (415413);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
CMI - CLINICA DE MEDICINA INTEGRADA LTDA. (310239);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
COMPANHIA DAS DOCAS DO ESTADO DA BAHIA - CODEBA (419796);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
COMPANHIA DE ENGENHARIA DE TRAFEGO - CET (330051);Médico Hospitalar;Pequeno;1;1;100,00;100,00;83,33;83,33;66,67;75,00;75,00;100,00;100,00;100,00;100,00;100,00;201712;05/02/2018 11:09:28
COMPANHIA DOCAS DO ESPIRITO SANTO - CODESA (416509);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
COMPANHIA ESPIRITO SANTENSE DE SANEAMENTO (392405);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
COMPANHIA NACIONAL DE ABASTECIMENTO - CONAB (334189);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
COMSEDER - COOPERATIVA DE ASSISTÊNCIA MÉDICA DOS SERVIDORES DA SUPLAN E DO DER LTDA (390259);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
CONFERÊNCIA SÃO JOSÉ DO AVAÍ (321931);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
CONFIANÇA ASSISTÊNCIA MÉDICO HOSPITALAR LTDA (410624);Médico Hospitalar;Pequeno;;;;;;;;;;;;100,00;100,00;100,00;201712;05/02/2018 11:09:28
"COOPERATIVA DE CONSUMO E BENEFÍCIOS SOCIAIS E ECONÔMICOS ""C.S. ASSISTANCE"" (350362)";Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
COOPERATIVA DE TRABALHO MEDICO DE ARAGUAÍNA - UNIMED ARAGUAÍNA (313084);Médico Hospitalar;Pequeno;1;1;100,00;100,00;100,00;100,00;100,00;100,00;;66,67;66,67;66,67;100,00;100,00;201712;05/02/2018 11:09:28
COOPERATIVA DE TRABALHO MÉDICO DE POUSO ALEGRE (337188);Médico Hospitalar;Médio;199;178;50,00;75,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;75,00;201712;05/02/2018 11:09:28
COOPERATIVA DE TRABALHO MÉDICO DE SÃO LUÍS LTDA. - UNIMED DE SÃO LUÍS (338559);Médico Hospitalar;Médio;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
COOPERATIVA DE TRABALHO MÉDICO DO PLANALTO NORTE DE SANTA CATARINA LTDA (317012);Médico Hospitalar;Pequeno;;;;;;;100,00;100,00;100,00;100,00;;;;;201712;05/02/2018 11:09:28
COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO (318213);Médico Hospitalar;Médio;;;;;;100,00;100,00;100,00;;100,00;100,00;100,00;;;201712;05/02/2018 11:09:28
COOPERATIVA DE TRABALHO MÉDICO UNIMED TERESÓPOLIS (363774);Médico Hospitalar;Pequeno;119;124;75,00;75,00;50,00;50,00;80,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;201712;05/02/2018 11:09:28
COOPERATIVA DE USUÁRIOS ASSISTÊNCIA MÉDICO-HOSPITALAR LTDA - VIVAMED SAÚDE (314170);Médico Hospitalar;Pequeno;1;1;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;201712;05/02/2018 11:09:28
COOPERATIVA DOS USUÁRIOS DE SERVIÇOS DE SAÚDE DO VALE DO RIO DOS SINOS LTDA (404241);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
COOPERATIVA DOS USUÁRIOS DE SERVIÇOS DE SAÚDE LTDA. (406805);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
COOPUS PLANOS DE SAÚDE LTDA (419168);Médico Hospitalar;Médio;1;136;100,00;88,89;91,67;77,78;90,00;90,91;84,62;84,21;80,00;91,67;100,00;100,00;201712;05/02/2018 11:09:28
CRUSAM CRUZEIRO DO SUL SERVIÇO DE ASSISTÊNCIA MÉDICA S.A. (324698);Médico Hospitalar;Médio;120;113;97,22;95,00;94,87;95,65;94,74;80,00;78,95;88,46;95,83;100,00;100,00;100,00;201712;05/02/2018 11:09:28
DANA INDUSTRIAS LTDA. (416118);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
DESBAN - FUNDAÇÃO BDMG DE SEGURIDADE SOCIAL (357669);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
DOCTOR CLIN OPERADORA DE PLANOS DE SAÚDE LTDA. (349682);Médico Hospitalar;Médio;157;143;87,50;87,50;78,57;88,89;88,89;100,00;100,00;90,00;80,00;83,33;100,00;100,00;201712;05/02/2018 11:09:28
DONA SAÚDE CLINICAS LTDA. ME (365645);Médico Hospitalar;Pequeno;1;1;100,00;100,00;62,50;62,50;57,14;100,00;100,00;100,00;100,00;100,00;100,00;100,00;201712;05/02/2018 11:09:28
ECOLE SERVIÇOS MÉDICOS LTDA (414298);Médico Hospitalar;Médio;161;117;86,67;92,86;90,00;90,00;93,75;100,00;90,00;68,00;52,38;50,00;33,33;53,85;201712;05/02/2018 11:09:28
ECONOMUS INSTITUTO DE SEGURIDADE SOCIAL (342611);Médico Hospitalar;Médio;141;121;90,91;91,67;100,00;85,71;62,50;70,00;75,00;100,00;100,00;100,00;90,00;72,73;201712;05/02/2018 11:09:28
ELETROSUL CENTRAIS ELÉTRICAS S/A (356891);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
ELOSAÚDE - ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE (417297);Médico Hospitalar;Pequeno;1;;100,00;;;100,00;100,00;100,00;;;;100,00;100,00;100,00;201712;05/02/2018 11:09:28
EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUÁRIA (400891);Médico Hospitalar;Médio;1;1;100,00;100,00;83,33;66,67;0,00;100,00;100,00;83,33;85,71;85,71;100,00;100,00;201712;05/02/2018 11:09:28
EMPRESA BRASILEIRA DE TELECOMUNICAÇÕES S.A (320587);Médico Hospitalar;Médio;1;1;100,00;100,00;100,00;0,00;0,00;0,00;;;;;;;201712;05/02/2018 11:09:28
EMPRESA DE TRANSPORTES E TRÂNSITO DE BELO HORIZONTE S.A. - BHTRANS (306525);Médico Hospitalar;Pequeno;;1;;100,00;100,00;100,00;;;;;;;;;201712;05/02/2018 11:09:28
EMPRESA GERENCIAL DE PROJETOS NAVAIS (410322);Médico Hospitalar;Pequeno;1;1;100,00;100,00;;;;;;;;100,00;100,00;100,00;201712;05/02/2018 11:09:28
ESMALE ASSISTENCIA INTERNACIONAL DE SAUDE LTDA. (395480);Médico Hospitalar;Médio;148;136;89,47;88,89;86,96;87,50;92,00;91,67;94,44;90,91;89,47;75,00;78,95;83,33;201712;05/02/2018 11:09:28
ESTALEIRO ATLÂNTICO SUL S/A (420905);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
EVANGELICO SAUDE LTDA. (401480);Médico Hospitalar;Pequeno;;;;;;;;100,00;100,00;100,00;;;;;201712;05/02/2018 11:09:28
EVERCROSS PLANEJAMENTO DE ASSISTÊNCIA MÉDICA LTDA. (410179);Médico Hospitalar;Pequeno;142;150;0,00;0,00;0,00;0,00;0,00;;;;;;;;201712;05/02/2018 11:09:28
E.X.M BRASIL SAÚDE LTDA (416282);Médico Hospitalar;Pequeno;106;122;86,67;78,95;77,27;76,47;88,24;88,89;88,89;91,30;88,89;85,00;66,67;78,57;201712;05/02/2018 11:09:28
EXTREMAMEDIC PLANOS DE SAÚDE LTDA (411868);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
FEDERAÇÃO DAS SOCIEDADES COOPERATIVAS DE TRABALHO MÉDICO DO ACRE, AMAPÁ, AMAZONAS, PARÁ, RONDONIA E RORAIMA (313971);Médico Hospitalar;Médio;126;110;95,24;95,83;94,74;100,00;91,67;86,67;84,21;75,00;69,23;61,54;58,33;46,67;201712;05/02/2018 11:09:28
FILOSANITAS SAUDE LTDA (410888);Médico Hospitalar;Pequeno;;1;;100,00;100,00;100,00;;100,00;100,00;100,00;;;;;201712;05/02/2018 11:09:28
FREE LIFE OPERADORA DE PLANOS DE SAÚDE LTDA (351091);Médico Hospitalar;Médio;1;1;100,00;100,00;84,62;72,73;75,00;80,00;100,00;100,00;100,00;100,00;100,00;83,33;201712;05/02/2018 11:09:28
FUNASA-SAÚDE - CAIXA DE ASSISTENCIA DOS EMPREGADOS DA SAELPA (370592);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
FUNDAÇÃO AFFEMG DE ASSISTÊNCIA E SAÚDE - FUNDAFFEMG (315567);Médico Hospitalar;Pequeno;;;;;;;;100,00;100,00;100,00;;;;;201712;05/02/2018 11:09:28
FUNDAÇÃO ASSISTENCIAL DOS EMPREGADOS DA CESAN (329665);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
FUNDAÇÃO ASSISTENCIAL DOS SERVIDORES DO MINISTÉRIO DA FAZENDA (346926);Médico Hospitalar;Médio;127;143;94,12;87,50;87,88;83,87;89,19;87,50;93,94;96,55;94,12;90,91;86,49;88,57;201712;05/02/2018 11:09:28
FUNDAÇÃO BENEFICENTE RIO DOCE (311499);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
FUNDAÇÃO CELESC DE SEGURIDADE SOCIAL - CELOS (315044);Médico Hospitalar;Médio;1;1;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;201712;05/02/2018 11:09:28
FUNDAÇÃO CESP (315478);Médico Hospitalar;Médio;1;127;100,00;90,91;92,31;81,82;92,31;93,75;100,00;100,00;100,00;100,00;100,00;88,89;201712;05/02/2018 11:09:28
FUNDAÇÃO CHESF DE ASSISTÊNCIA E SEGURIDADE SOCIAL (317233);Médico Hospitalar;Médio;1;143;100,00;87,50;85,71;50,00;33,33;0,00;;100,00;100,00;100,00;100,00;100,00;201712;05/02/2018 11:09:28
FUNDAÇAO COMPESA DE PREVIDENCIA E ASSISTENCIA - COMPESAPREV (307751);Médico Hospitalar;Pequeno;1;;100,00;;;;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;201712;05/02/2018 11:09:28
FUNDAÇÃO COPEL DE PREVIDÊNCIA E ASSISTÊNCIA SOCIAL (355151);Médico Hospitalar;Médio;1;1;100,00;100,00;100,00;80,00;77,78;66,67;88,89;87,50;88,89;87,50;100,00;100,00;201712;05/02/2018 11:09:28
FUNDAÇÃO DE ASSISTÊNCIA À SAÚDE DA ASSOCIAÇÃO DO MINISTÉRIO PÚBLICO DO RIO GRANDE DO SUL (420701);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
FUNDAÇÃO DE ASSISTÊNCIA E PREVIDÊNCIA SOCIAL DO BNDES (339636);Médico Hospitalar;Pequeno;;;;;;;;;;;;;100,00;100,00;201712;05/02/2018 11:09:28
FUNDAÇÃO DE PREVIDÊNCIA DOS EMPREGADOS DA CEB (309362);Médico Hospitalar;Pequeno;1;1;100,00;100,00;100,00;;;;;;;;;;201712;05/02/2018 11:09:28
FUNDAÇÃO DE SAÚDE ITAIGUAPY (311359);Médico Hospitalar;Médio;;;;;100,00;100,00;100,00;;0,00;0,00;0,00;0,00;0,00;0,00;201712;05/02/2018 11:09:28
FUNDAÇÃO DE SEGURIDADE SOCIAL DA ARCELORMITTAL BRASIL - FUNSSEST (330809);Médico Hospitalar;Médio;;;;;;;0,00;0,00;0,00;;;;100,00;100,00;201712;05/02/2018 11:09:28
FUNDAÇÃO ELETROBRÁS DE SEGURIDADE SOCIAL - ELETROS (313904);Médico Hospitalar;Pequeno;1;131;100,00;66,67;80,00;75,00;75,00;50,00;50,00;100,00;100,00;100,00;100,00;100,00;201712;05/02/2018 11:09:28
FUNDAÇÃO FIAT SAÚDE E BEM ESTAR (418285);Médico Hospitalar;Médio;;;;;;;;100,00;100,00;100,00;;;;;201712;05/02/2018 11:09:28
FUNDAÇÃO FILANTRÓPICA E BENEFICENTE DE SAÚDE ARNALDO GAVAZZA FILHO (323942);Médico Hospitalar;Pequeno;1;142;100,00;50,00;50,00;50,00;100,00;100,00;;;;;;;201712;05/02/2018 11:09:28
FUNDACAO LEONOR DE BARROS CAMARGO (410292);Médico Hospitalar;Médio;;;;;;;;;;;;;0,00;0,00;201712;05/02/2018 11:09:28
FUNDAÇÃO LIBERTAS DE SEGURIDADE SOCIAL (378216);Médico Hospitalar;Pequeno;1;1;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;;;;;201712;05/02/2018 11:09:28
FUNDAÇÃO PLAMHUV - PLANO MÉDICO HOSPITALAR DOS HOSPITAIS UNIDOS DE VIÇOSA (418501);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
FUNDAÇÃO SABESP DE SEGURIDADE SOCIAL - SABESPREV (336165);Médico Hospitalar;Médio;1;1;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;92,86;82,35;80,00;84,62;201712;05/02/2018 11:09:28
FUNDAÇÃO SANEPAR DE ASSISTÊNCIA SOCIAL (338648);Médico Hospitalar;Médio;1;1;100,00;100,00;100,00;100,00;100,00;100,00;100,00;50,00;0,00;50,00;100,00;100,00;201712;05/02/2018 11:09:28
FUNDAÇÃO SÃO FRANCISCO XAVIER (339954);Médico Hospitalar;Grande;1;22;100,00;95,65;96,00;90,48;85,71;66,67;83,33;90,00;100,00;100,00;100,00;100,00;201712;05/02/2018 11:09:28
FUNDAÇÃO SAÚDE ITAÚ (312126);Médico Hospitalar;Grande;72;70;82,05;81,40;87,50;88,24;86,54;89,74;87,80;85,37;81,40;86,49;93,33;86,67;201712;05/02/2018 11:09:28
FUNDO DE ASSISTÊNCIA À SAÚDE DOS FUNCIONÁRIOS DO BEC (414689);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
FUNDO DE ASSISTÊNCIA MÉDICO-HOSPITALAR DO MINISTÉRIO PÚBLICO (418129);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
G & M ASSESSORIA MEDICA EMPRESARIAL LTDA - EPP (409286);Médico Hospitalar;Pequeno;;;;;;;;;;;;50,00;50,00;50,00;201712;05/02/2018 11:09:28
GAMA SAUDE LTDA. (407011);Médico Hospitalar;Pequeno;1;111;100,00;88,89;88,89;80,00;85,71;85,71;90,00;90,91;81,82;83,33;80,00;100,00;201712;05/02/2018 11:09:28
GAMEC - GRUPO DE ASSISTÊNCIA MEDICA EMPRESARIAL DO CEARÁ LTDA. (347591);Médico Hospitalar;Pequeno;112;115;84,00;85,71;83,87;80,77;83,33;86,36;85,00;86,96;80,00;100,00;100,00;100,00;201712;05/02/2018 11:09:28
GARANTIA DE SAÚDE LTDA (343064);Médico Hospitalar;Médio;145;128;90,00;90,00;100,00;100,00;100,00;83,33;90,00;93,75;94,74;94,44;91,67;100,00;201712;05/02/2018 11:09:28
GEAP AUTOGESTÃO EM SAÚDE (323080);Médico Hospitalar;Grande;33;20;94,50;95,93;96,68;96,50;95,81;92,58;90,70;87,78;86,73;85,35;87,03;88,93;201712;05/02/2018 11:09:28
GKN DO BRASIL LTDA (416819);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
GOOD LIFE SAUDE LTDA (305995);Médico Hospitalar;Médio;198;193;61,11;61,11;64,71;81,82;77,78;77,78;85,71;100,00;100,00;100,00;100,00;87,50;201712;05/02/2018 11:09:28
